Game,Commence Time,Bookmaker,Outcome,Odds
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,DraftKings,Boston Celtics,1.46
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,DraftKings,Cleveland Cavaliers,2.8
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,MyBookie.ag,Boston Celtics,1.45
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,MyBookie.ag,Cleveland Cavaliers,2.76
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,FanDuel,Boston Celtics,1.45
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,FanDuel,Cleveland Cavaliers,2.84
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,Caesars,Boston Celtics,1.44
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,Caesars,Cleveland Cavaliers,2.85
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetMGM,Boston Celtics,1.44
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetMGM,Cleveland Cavaliers,2.8
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetOnline.ag,Boston Celtics,1.47
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetOnline.ag,Cleveland Cavaliers,2.82
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,LowVig.ag,Boston Celtics,1.47
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,LowVig.ag,Cleveland Cavaliers,2.82
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetRivers,Boston Celtics,1.51
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetRivers,Cleveland Cavaliers,2.63
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,Bovada,Boston Celtics,1.54
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,Bovada,Cleveland Cavaliers,2.6
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetUS,Boston Celtics,1.47
Boston Celtics vs Cleveland Cavaliers,2024-11-20 12:10 AM,BetUS,Cleveland Cavaliers,2.83
Boston Celtics vs Philadelphia 76ers,2024-12-25 10:00 PM,DraftKings,Boston Celtics,1.4
Boston Celtics vs Philadelphia 76ers,2024-12-25 10:00 PM,DraftKings,Philadelphia 76ers,3.05
Boston Celtics vs Philadelphia 76ers,2024-12-25 10:00 PM,Caesars,Boston Celtics,1.38
Boston Celtics vs Philadelphia 76ers,2024-12-25 10:00 PM,Caesars,Philadelphia 76ers,3.1
